# Turbulence results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
# Note: extraction at x/H=-4 was at nearest cell-center
x,y,uv
 1.000000000E+00, 8.851511478E-01, -2.580417087E-03
 1.000000000E+00, 8.898984194E-01, -2.780673094E-03
 1.000000000E+00, 8.944627047E-01, -2.977239667E-03
 1.000000000E+00, 8.988524675E-01, -3.169115400E-03
 1.000000000E+00, 9.030758739E-01, -3.355495632E-03
 1.000000000E+00, 9.071409106E-01, -3.535751486E-03
 1.000000000E+00, 9.110552073E-01, -3.709394252E-03
 1.000000000E+00, 9.148262739E-01, -3.876064438E-03
 1.000000000E+00, 9.184611440E-01, -4.035501275E-03
 1.000000000E+00, 9.219666123E-01, -4.187532701E-03
 1.000000000E+00, 9.253494143E-01, -4.332069308E-03
 1.000000000E+00, 9.286156893E-01, -4.469071981E-03
 1.000000000E+00, 9.317715764E-01, -4.598561674E-03
 1.000000000E+00, 9.348228574E-01, -4.720599856E-03
 1.000000000E+00, 9.377749562E-01, -4.835276399E-03
 1.000000000E+00, 9.406331778E-01, -4.942714237E-03
 1.000000000E+00, 9.434025884E-01, -5.043058190E-03
 1.000000000E+00, 9.460878968E-01, -5.136462860E-03
 1.000000000E+00, 9.486937523E-01, -5.223100074E-03
 1.000000000E+00, 9.512243867E-01, -5.303143524E-03
 1.000000000E+00, 9.536840320E-01, -5.376777146E-03
 1.000000000E+00, 9.560765624E-01, -5.444181152E-03
 1.000000000E+00, 9.584057331E-01, -5.505539011E-03
 1.000000000E+00, 9.606750607E-01, -5.561030470E-03
 1.000000000E+00, 9.628879428E-01, -5.610831548E-03
 1.000000000E+00, 9.650474787E-01, -5.655109882E-03
 1.000000000E+00, 9.671568274E-01, -5.694032181E-03
 1.000000000E+00, 9.692187309E-01, -5.727753974E-03
 1.000000000E+00, 9.712360501E-01, -5.756427068E-03
 1.000000000E+00, 9.732112885E-01, -5.780193023E-03
 1.000000000E+00, 9.751468897E-01, -5.799185950E-03
 1.000000000E+00, 9.770451784E-01, -5.813533906E-03
 1.000000000E+00, 9.789084196E-01, -5.823356099E-03
 1.000000000E+00, 9.807386398E-01, -5.828763824E-03
 1.000000000E+00, 9.825378060E-01, -5.829861853E-03
 1.000000000E+00, 9.843078852E-01, -5.826746579E-03
 1.000000000E+00, 9.860506058E-01, -5.819508340E-03
 1.000000000E+00, 9.877676368E-01, -5.808231421E-03
 1.000000000E+00, 9.894605279E-01, -5.792994052E-03
 1.000000000E+00, 9.911309481E-01, -5.773867480E-03
 1.000000000E+00, 9.927802086E-01, -5.750920158E-03
 1.000000000E+00, 9.944097996E-01, -5.724213552E-03
 1.000000000E+00, 9.960208535E-01, -5.693808664E-03
 1.000000000E+00, 9.976147413E-01, -5.659759045E-03
 1.000000000E+00, 9.991925955E-01, -5.622116383E-03
 1.000000000E+00, 1.000755548E+00, -5.580931436E-03
 1.000000000E+00, 1.002304673E+00, -5.536252633E-03
 1.000000000E+00, 1.003840923E+00, -5.488127936E-03
 1.000000000E+00, 1.005365252E+00, -5.436606705E-03
 1.000000000E+00, 1.006878734E+00, -5.381730385E-03
 1.000000000E+00, 1.008381963E+00, -5.323556252E-03
 1.000000000E+00, 1.009876132E+00, -5.262137856E-03
 1.000000000E+00, 1.011361718E+00, -5.197544117E-03
 1.000000000E+00, 1.012839675E+00, -5.129779223E-03
 1.000000000E+00, 1.014318705E+00, -5.058499984E-03
 1.000000000E+00, 1.015807629E+00, -4.983338993E-03
