# Velocity results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
x,y,u
 1.000000000E+00, 6.159611940E-01, -1.474513113E-02
 1.000000000E+00, 6.287056804E-01, -1.323856693E-02
 1.000000000E+00, 6.411936283E-01, -1.176264603E-02
 1.000000000E+00, 6.534144878E-01, -1.031508762E-02
 1.000000000E+00, 6.653595567E-01, -8.891936392E-03
 1.000000000E+00, 6.770219207E-01, -7.487490773E-03
 1.000000000E+00, 6.883966327E-01, -6.094237790E-03
 1.000000000E+00, 6.994803548E-01, -4.702690523E-03
 1.000000000E+00, 7.102713585E-01, -3.301092889E-03
 1.000000000E+00, 7.207696438E-01, -1.875483897E-03
 1.000000000E+00, 7.309766412E-01, -4.102152307E-04
 1.000000000E+00, 7.408953309E-01, 1.113126986E-03
 1.000000000E+00, 7.505297661E-01, 2.718731295E-03
 1.000000000E+00, 7.598854303E-01, 4.438841715E-03
 1.000000000E+00, 7.689688206E-01, 6.314979866E-03
 1.000000000E+00, 7.777875066E-01, 8.399446495E-03
 1.000000000E+00, 7.863498926E-01, 1.075694524E-02
 1.000000000E+00, 7.946652770E-01, 1.346544176E-02
 1.000000000E+00, 8.027436137E-01, 1.661509648E-02
 1.000000000E+00, 8.105954528E-01, 2.030415088E-02
 1.000000000E+00, 8.182319403E-01, 2.462079190E-02
 1.000000000E+00, 8.256042004E-01, 2.961844578E-02
 1.000000000E+00, 8.326897025E-01, 3.531410173E-02
 1.000000000E+00, 8.394981027E-01, 4.169663787E-02
 1.000000000E+00, 8.460389972E-01, 4.872585461E-02
 1.000000000E+00, 8.523222208E-01, 5.633621663E-02
 1.000000000E+00, 8.583575487E-01, 6.444738060E-02
 1.000000000E+00, 8.641546965E-01, 7.297406346E-02
 1.000000000E+00, 8.697232008E-01, 8.183337003E-02
 1.000000000E+00, 8.750725389E-01, 9.094911069E-02
 1.000000000E+00, 8.802121878E-01, 1.002538651E-01
 1.000000000E+00, 8.851511478E-01, 1.096894071E-01
 1.000000000E+00, 8.898984194E-01, 1.192063168E-01
 1.000000000E+00, 8.944627047E-01, 1.287630796E-01
 1.000000000E+00, 8.988524675E-01, 1.383250654E-01
 1.000000000E+00, 9.030758739E-01, 1.478636414E-01
 1.000000000E+00, 9.071409106E-01, 1.573552638E-01
 1.000000000E+00, 9.110552073E-01, 1.667806804E-01
 1.000000000E+00, 9.148262739E-01, 1.761243343E-01
 1.000000000E+00, 9.184611440E-01, 1.853737384E-01
 1.000000000E+00, 9.219666123E-01, 1.945190877E-01
 1.000000000E+00, 9.253494143E-01, 2.035528123E-01
 1.000000000E+00, 9.286156893E-01, 2.124692351E-01
 1.000000000E+00, 9.317715764E-01, 2.212643772E-01
 1.000000000E+00, 9.348228574E-01, 2.299355417E-01
 1.000000000E+00, 9.377749562E-01, 2.384813279E-01
 1.000000000E+00, 9.406331778E-01, 2.469013184E-01
 1.000000000E+00, 9.434025884E-01, 2.551959157E-01
 1.000000000E+00, 9.460878968E-01, 2.633662522E-01
 1.000000000E+00, 9.486937523E-01, 2.714140415E-01
 1.000000000E+00, 9.512243867E-01, 2.793415785E-01
 1.000000000E+00, 9.536840320E-01, 2.871515155E-01
 1.000000000E+00, 9.560765624E-01, 2.948467731E-01
 1.000000000E+00, 9.584057331E-01, 3.024306595E-01
 1.000000000E+00, 9.606750607E-01, 3.099066317E-01
 1.000000000E+00, 9.628879428E-01, 3.172782660E-01
 1.000000000E+00, 9.650474787E-01, 3.245492280E-01
 1.000000000E+00, 9.671568274E-01, 3.317233920E-01
 1.000000000E+00, 9.692187309E-01, 3.388045132E-01
 1.000000000E+00, 9.712360501E-01, 3.457963467E-01
 1.000000000E+00, 9.732112885E-01, 3.527027369E-01
 1.000000000E+00, 9.751468897E-01, 3.595274389E-01
 1.000000000E+00, 9.770451784E-01, 3.662741184E-01
 1.000000000E+00, 9.789084196E-01, 3.729463518E-01
 1.000000000E+00, 9.807386398E-01, 3.795476854E-01
 1.000000000E+00, 9.825378060E-01, 3.860814869E-01
 1.000000000E+00, 9.843078852E-01, 3.925510049E-01
 1.000000000E+00, 9.860506058E-01, 3.989594281E-01
 1.000000000E+00, 9.877676368E-01, 4.053097367E-01
 1.000000000E+00, 9.894605279E-01, 4.116048217E-01
 1.000000000E+00, 9.911309481E-01, 4.178473651E-01
 1.000000000E+00, 9.927802086E-01, 4.240399599E-01
 1.000000000E+00, 9.944097996E-01, 4.301849902E-01
 1.000000000E+00, 9.960208535E-01, 4.362847209E-01
 1.000000000E+00, 9.976147413E-01, 4.423411489E-01
 1.000000000E+00, 9.991925955E-01, 4.483561814E-01
 1.000000000E+00, 1.000755548E+00, 4.543316066E-01
 1.000000000E+00, 1.002304673E+00, 4.602688551E-01
 1.000000000E+00, 1.003840923E+00, 4.661693573E-01
 1.000000000E+00, 1.005365252E+00, 4.720341861E-01
 1.000000000E+00, 1.006878734E+00, 4.778643548E-01
 1.000000000E+00, 1.008381963E+00, 4.836605489E-01
